Method,B-test AUC,C-query AUC,F1,Brier,ECE,Avg External,Worst-center AUC
No Calibration / Logistic Stacking,0.947 +/- 0.000,0.611 +/- 0.034,0.364 +/- 0.038,0.249 +/- 0.005,0.160 +/- 0.022,0.778868,0.611028
CT-only Calibration,0.938 +/- 0.001,0.598 +/- 0.040,0.316 +/- 0.043,0.249 +/- 0.005,0.133 +/- 0.043,0.768214,0.598496
EHR-only Calibration,0.945 +/- 0.002,0.617 +/- 0.034,0.369 +/- 0.035,0.247 +/- 0.005,0.138 +/- 0.011,0.780998,0.616541
Report-only Calibration / CGMS-Stacking final,0.956 +/- 0.000,0.636 +/- 0.026,0.455 +/- 0.042,0.239 +/- 0.004,0.110 +/- 0.037,0.796102,0.636090
CT+EHR Calibration,0.937 +/- 0.000,0.604 +/- 0.039,0.316 +/- 0.043,0.248 +/- 0.005,0.127 +/- 0.029,0.770657,0.604010
CT+Report Calibration,0.950 +/- 0.001,0.613 +/- 0.028,0.456 +/- 0.043,0.239 +/- 0.005,0.094 +/- 0.033,0.781751,0.613033
EHR+Report Calibration,0.953 +/- 0.000,0.635 +/- 0.027,0.455 +/- 0.042,0.238 +/- 0.005,0.113 +/- 0.038,0.794033,0.635088
All-Modality Calibration,0.950 +/- 0.003,0.618 +/- 0.031,0.462 +/- 0.038,0.238 +/- 0.005,0.084 +/- 0.023,0.784258,0.618045
